Node1, Node2, Distance
17,20,639.3766948779709
24,37,872.2273841374417
40,6,886.5802745405881
6,3,1178.1423071899903
44,2,1015.9207563211254
32,13,623.6837717459014
16,22,700.482401972634
38,26,729.7390813098186
15,5,1419.3990223096155
47,30,864.2113896427694
49,45,1183.4187146276377
5,42,626.1020208335118
20,4,948.5816461291588
37,46,643.8591467584838
27,35,530.409440710195
18,32,703.2984256694656
44,16,674.5493272518239
27,10,831.0941147041393
7,47,1270.7244251118548
42,9,935.2547407830629
21,1,1327.4390842443659
8,23,420.4989912034556
4,25,674.0322122191998
46,34,619.847033177477
41,11,661.1168580214811
12,18,856.698890572347
15,38,836.6778633548528
35,44,532.479572237483
10,41,431.63114850797047
19,15,975.8534052043456
48,15,711.8640955411724
11,14,703.041081096694
3,36,689.6727321585714
46,44,731.8408575765212
9,2,592.5734389078542
29,21,1069.7456266665274
23,28,628.8867316519875
36,17,511.31945929202783
43,11,445.2356934737558
25,24,887.2716144080663
2,31,1012.9371745953429
39,27,789.3622563444476
31,12,941.3885254677963
13,33,722.8889342976894
33,29,840.0165489864738
22,19,1068.9830969856966
34,27,359.5613191600602
26,7,694.2807588699468
11,49,727.4865822868748
2,8,1107.4998876985653
28,43,441.99706776186514
